VARIABLES = "X", "Y", "VELOCITY_X", "VELOCITY_Y", "PRESSURE"
ZONE I=128, J=64, F=POINT
0.0078125 0.0078125 1.05496e-06 -7.05362e-07 3.31511e-05
0.0234375 0.0078125 3.20778e-06 -1.09957e-06 3.31459e-05
0.0390625 0.0078125 5.40924e-06 -1.16459e-06 3.31338e-05
0.0546875 0.0078125 7.61284e-06 -1.16798e-06 3.31146e-05
0.0703125 0.0078125 9.80654e-06 -1.16201e-06 3.30884e-05
0.0859375 0.0078125 1.1986e-05 -1.15378e-06 3.30551e-05
0.101563 0.0078125 1.41484e-05 -1.1441e-06 3.30146e-05
0.117188 0.0078125 1.62911e-05 -1.13318e-06 3.29669e-05
0.132813 0.0078125 1.84118e-05 -1.12115e-06 3.29118e-05
0.148438 0.0078125 2.05085e-05 -1.10815e-06 3.28494e-05
0.164063 0.0078125 2.25796e-05 -1.09432e-06 3.27794e-05
0.179688 0.0078125 2.46235e-05 -1.07981e-06 3.27017e-05
0.195313 0.0078125 2.66391e-05 -1.06474e-06 3.26163e-05
0.210938 0.0078125 2.86254e-05 -1.04923e-06 3.25229e-05
0.226563 0.0078125 3.05819e-05 -1.03341e-06 3.24215e-05
0.242188 0.0078125 3.25079e-05 -1.01738e-06 3.23118e-05
0.257813 0.0078125 3.44034e-05 -1.00122e-06 3.21937e-05
0.273438 0.0078125 3.62681e-05 -9.85023e-07 3.2067e-05
0.289063 0.0078125 3.81021e-05 -9.6884e-07 3.19315e-05
0.304688 0.0078125 3.99055e-05 -9.5273e-07 3.17869e-05
0.320313 0.0078125 4.16786e-05 -9.36735e-07 3.16331e-05
0.335938 0.0078125 4.34218e-05 -9.20887e-07 3.14699e-05
0.351563 0.0078125 4.51353e-05 -9.05207e-07 3.1297e-05
0.367188 0.0078125 4.68197e-05 -8.89711e-07 3.11141e-05
0.382813 0.0078125 4.84753e-05 -8.74405e-07 3.09211e-05
0.398438 0.0078125 5.01025e-05 -8.59291e-07 3.07175e-05
0.414063 0.0078125 5.17019e-05 -8.44365e-07 3.05033e-05
0.429688 0.0078125 5.32738e-05 -8.29619e-07 3.02781e-05
0.445313 0.0078125 5.48187e-05 -8.15041e-07 3.00415e-05
0.460938 0.0078125 5.63368e-05 -8.00618e-07 2.97934e-05
0.476563 0.0078125 5.78286e-05 -7.86334e-07 2.95334e-05
0.492188 0.0078125 5.92944e-05 -7.72172e-07 2.92612e-05
0.507813 0.0078125 6.07344e-05 -7.58113e-07 2.89765e-05
0.523438 0.0078125 6.21488e-05 -7.44139e-07 2.8679e-05
0.539063 0.0078125 6.35379e-05 -7.3023e-07 2.83684e-05
0.554688 0.0078125 6.49018e-05 -7.1637e-07 2.80443e-05
0.570313 0.0078125 6.62407e-05 -7.02539e-07 2.77064e-05
0.585938 0.0078125 6.75545e-05 -6.88722e-07 2.73543e-05
0.601563 0.0078125 6.88434e-05 -6.74903e-07 2.69878e-05
0.617188 0.0078125 7.01074e-05 -6.61067e-07 2.66064e-05
0.632813 0.0078125 7.13465e-05 -6.47203e-07 2.62098e-05
0.648438 0.0078125 7.25605e-05 -6.333e-07 2.57976e-05
0.664063 0.0078125 7.37496e-05 -6.19347e-07 2.53696e-05
0.679688 0.0078125 7.49135e-05 -6.05339e-07 2.49253e-05
0.695313 0.0078125 7.60523e-05 -5.91267e-07 2.44643e-05
0.710938 0.0078125 7.71658e-05 -5.77128e-07 2.39864e-05
0.726563 0.0078125 7.82538e-05 -5.62918e-07 2.34912e-05
0.742188 0.0078125 7.93163e-05 -5.48635e-07 2.29783e-05
0.757813 0.0078125 8.03531e-05 -5.34277e-07 2.24473e-05
0.773438 0.0078125 8.13642e-05 -5.19844e-07 2.1898e-05
0.789063 0.0078125 8.23493e-05 -5.05335e-07 2.133e-05
0.804688 0.0078125 8.33084e-05 -4.90753e-07 2.0743e-05
0.820313 0.0078125 8.42412e-05 -4.76101e-07 2.01366e-05
0.835938 0.0078125 8.51478e-05 -4.61381e-07 1.95106e-05
0.851563 0.0078125 8.60279e-05 -4.46598e-07 1.88645e-05
0.867188 0.0078125 8.68814e-05 -4.3176e-07 1.81982e-05
0.882813 0.0078125 8.77083e-05 -4.16875e-07 1.75114e-05
0.898438 0.0078125 8.85085e-05 -4.01953e-07 1.68038e-05
0.914063 0.0078125 8.92819e-05 -3.87005e-07 1.60752e-05
0.929688 0.0078125 9.00285e-05 -3.72047e-07 1.53253e-05
0.945313 0.0078125 9.07482e-05 -3.57095e-07 1.45541e-05
0.960938 0.0078125 9.14412e-05 -3.42167e-07 1.37613e-05
0.976563 0.0078125 9.21074e-05 -3.27285e-07 1.29469e-05
0.992188 0.0078125 9.2747e-05 -3.1247e-07 1.21108e-05
1.00781 0.0078125 9.33602e-05 -2.97748e-07 1.1253e-05
1.02344 0.0078125 9.39471e-05 -2.83145e-07 1.03736e-05
1.03906 0.0078125 9.45079e-05 -2.68688e-07 9.47257e-06
1.05469 0.0078125 9.50431e-05 -2.54404e-07 8.55011e-06
1.07031 0.0078125 9.55529e-05 -2.40323e-07 7.60641e-06
1.08594 0.0078125 9.60378e-05 -2.26473e-07 6.64171e-06
1.10156 0.0078125 9.64983e-05 -2.12884e-07 5.65632e-06
1.11719 0.0078125 9.69348e-05 -1.99582e-07 4.65059e-06
1.13281 0.0078125 9.7348e-05 -1.86595e-07 3.62492e-06
1.14844 0.0078125 9.77384e-05 -1.73947e-07 2.57978e-06
1.16406 0.0078125 9.81069e-05 -1.61663e-07 1.51568e-06
1.17969 0.0078125 9.8454e-05 -1.49764e-07 4.33153e-07
1.19531 0.0078125 9.87806e-05 -1.38268e-07 -6.67202e-07
1.21094 0.0078125 9.90875e-05 -1.27191e-07 -1.78476e-06
1.22656 0.0078125 9.93754e-05 -1.16546e-07 -2.91888e-06
1.24219 0.0078125 9.96452e-05 -1.06342e-07 -4.06888e-06
1.25781 0.0078125 9.98978e-05 -9.65871e-08 -5.23406e-06
1.27344 0.0078125 0.000100134 -8.72838e-08 -6.41373e-06
1.28906 0.0078125 0.000100355 -7.84325e-08 -7.60716e-06
1.30469 0.0078125 0.000100561 -7.00307e-08 -8.81365e-06
1.32031 0.0078125 0.000100753 -6.20731e-08 -1.00325e-05
1.33594 0.0078125 0.000100932 -5.45519e-08 -1.1263e-05
1.35156 0.0078125 0.0001011 -4.74571e-08 -1.25044e-05
1.36719 0.0078125 0.000101256 -4.07769e-08 -1.37561e-05
1.38281 0.0078125 0.000101401 -3.44979e-08 -1.50175e-05
1.39844 0.0078125 0.000101537 -2.86052e-08 -1.62879e-05
1.41406 0.0078125 0.000101663 -2.30832e-08 -1.75667e-05
1.42969 0.0078125 0.000101781 -1.79155e-08 -1.88533e-05
1.44531 0.0078125 0.000101891 -1.30851e-08 -2.01473e-05
1.46094 0.0078125 0.000101995 -8.57493e-09 -2.1448e-05
1.47656 0.0078125 0.000102091 -4.368e-09 -2.2755e-05
1.49219 0.0078125 0.000102182 -4.47393e-10 -2.40678e-05
1.50781 0.0078125 0.000102267 3.20347e-09 -2.5386e-05
1.52344 0.0078125 0.000102346 6.60069e-09 -2.67093e-05
1.53906 0.0078125 0.000102421 9.75981e-09 -2.80371e-05
1.55469 0.0078125 0.000102492 1.26957e-08 -2.93693e-05
1.57031 0.0078125 0.000102559 1.54227e-08 -3.07053e-05
1.58594 0.0078125 0.000102623 1.79542e-08 -3.20451e-05
1.60156 0.0078125 0.000102683 2.03029e-08 -3.33882e-05
1.61719 0.0078125 0.000102741 2.24809e-08 -3.47344e-05
1.63281 0.0078125 0.000102796 2.44993e-08 -3.60835e-05
1.64844 0.0078125 0.000102848 2.63686e-08 -3.74353e-05
1.66406 0.0078125 0.000102898 2.80986e-08 -3.87896e-05
1.67969 0.0078125 0.000102946 2.96981e-08 -4.01462e-05
1.69531 0.0078125 0.000102993 3.11757e-08 -4.15049e-05
1.71094 0.0078125 0.000103038 3.25389e-08 -4.28656e-05
1.72656 0.0078125 0.000103081 3.37948e-08 -4.42281e-05
1.74219 0.0078125 0.000103123 3.49499e-08 -4.55924e-05
1.75781 0.0078125 0.000103164 3.60101e-08 -4.69582e-05
1.77344 0.0078125 0.000103204 3.69808e-08 -4.83256e-05
1.78906 0.0078125 0.000103243 3.78668e-08 -4.96944e-05
1.80469 0.0078125 0.000103281 3.86727e-08 -5.10645e-05
1.82031 0.0078125 0.000103319 3.94024e-08 -5.24359e-05
1.83594 0.0078125 0.000103355 4.00594e-08 -5.38085e-05
1.85156 0.0078125 0.000103391 4.0647e-08 -5.51822e-05
1.86719 0.0078125 0.000103423 4.11681e-08 -5.6557e-05
1.88281 0.0078125 0.000103381 4.16252e-08 -5.79328e-05
1.89844 0.0078125 0.000102208 4.20231e-08 -5.93097e-05
1.91406 0.0078125 8.54555e-05 4.23945e-08 -6.06875e-05
1.92969 0.0078125 -0.000114361 4.30476e-08 -6.20667e-05
1.94531 0.0078125 -0.00187437 4.60037e-08 -6.34526e-05
1.96094 0.0078125 -0.00918879 5.39736e-08 -6.48887e-05
1.97656 0.0078125 -0.018768 4.07186e-08 -6.65049e-05
1.99219 0.0078125 0.0330072 3.64863e-09 -6.8242e-05
0.0078125 0.0234375 1.0568e-06 -2.08498e-06 3.31602e-05
0.0234375 0.0234375 3.21319e-06 -3.25757e-06 3.31551e-05
0.0390625 0.0234375 5.41804e-06 -3.45144e-06 3.31429e-05
0.0546875 0.0234375 7.62488e-06 -3.46159e-06 3.31238e-05
0.0703125 0.0234375 9.82164e-06 -3.44379e-06 3.30976e-05
0.0859375 0.0234375 1.2004e-05 -3.4192e-06 3.30644e-05
0.101563 0.0234375 1.4169e-05 -3.39031e-06 3.30239e-05
0.117188 0.0234375 1.6314e-05 -3.35769e-06 3.29763e-05
0.132813 0.0234375 1.84368e-05 -3.32175e-06 3.29213e-05
